X,Y,id
-8476631.597,454248.7067,2
-8468510.829,454188.5529,1
-8464600.83,454228.6555,2
-8475709.238,454248.7067,3
-8491469.543,454088.2965,2
-8487439.236,454188.5529,3
-8481022.827,454188.5529,3
-8491208.876,454208.6042,2
-8481504.057,454168.5016,3
-8480361.134,454128.3991,2
-8480361.134,454288.8093,3
-8467508.265,454248.7067,3
-8466666.111,454188.5529,1
-8465864.06,454268.758,3
-8487940.518,454128.3991,2
-8473323.136,454028.1427,3
-8471478.418,455331.4758,2
-8466024.47,454228.6555,3
-8485213.544,454048.194,3
-8483870.108,454148.4503,3
-8465583.342,454008.0914,2
-8488963.133,454248.7067,2
-8467387.957,454128.3991,2
-8466786.419,455291.3732,1
-8463237.343,454048.194,3
-8488020.723,453967.9888,2
-8477614.109,453967.9888,2
-8466405.445,454028.1427,1
-8473002.315,453967.9888,2
-8469633.7,453988.0401,1
-8468430.624,454288.8093,2
-8467588.47,454008.0914,2
-8489725.082,453947.9376,2
-8491589.85,453988.0401,3
-8474345.751,453947.9376,3
-8474646.52,453947.9376,1
-8469352.983,453927.8863,2
-8467869.188,453988.0401,1
-8491048.466,453988.0401,3
-8483288.621,453847.6812,2
-8475588.93,453907.835,3
-8475428.52,453947.9376,2
-8470656.316,453927.8863,2
-8468210.06,454048.194,3
-8485253.646,453807.5786,2
-8468370.47,453847.6812,1
-8465182.317,453927.8863,2
-8479138.006,453807.5786,3
-8473242.931,453807.5786,2
-8472420.828,453827.6299,2
-8470395.649,453787.5273,2
-8469573.547,453787.5273,3
-8466906.727,454088.2965,3
-8491349.235,453767.4761,2
-8488983.184,453767.4761,2
-8488361.595,453787.5273,3
-8479719.494,453947.9376,2
-8478817.186,453847.6812,2
-8479077.853,453727.3735,2
-8463277.445,453807.5786,3
-8488642.312,453667.2197,3
-8471879.444,454048.194,3
-8471077.392,453927.8863,3
-8470856.828,454348.9631,1
-8467387.957,453687.2709,3
-8463618.317,453787.5273,2
-8474546.264,454208.6042,2
-8465422.932,454188.5529,3
-8491850.517,453927.8863,2
-8487018.159,454068.2452,2
-8485915.339,453647.1684,2
-8476030.058,453647.1684,2
-8490326.62,453767.4761,2
-8489283.953,453727.3735,2
-8488281.389,453667.2197,1
-8469453.239,453727.3735,1
-8465262.522,453767.4761,1
-8468951.957,453627.1171,1
-8466405.445,453587.0145,1
-8465001.855,453607.0658,2
-8492492.158,453566.9633,2
-8487459.287,453526.8607,3
-8463818.83,453566.9633,3
-8490747.697,453526.8607,2
-8490166.21,453587.0145,3
-8470896.931,453546.912,2
-8465623.445,453647.1684,2
-8464620.881,453587.0145,2
-8466806.47,453627.1171,1
-8489624.825,453486.7582,2
-8488080.877,453687.2709,2
-8477814.622,453627.1171,2
-8465904.163,453486.7582,2
-8490045.902,453406.553,3
-8476270.674,453647.1684,2
-8475649.084,453486.7582,2
-8472801.802,453526.8607,2
-8466465.598,454148.4503,2
-8466024.47,453687.2709,3
-8464681.035,453647.1684,1
-8464560.727,453486.7582,3
-8488862.877,453366.4505,2
-8482346.211,453446.6556,3
-8479679.391,453627.1171,3
-8471157.598,453406.553,2
-8470074.829,453566.9633,1
-8466565.855,453406.553,3
-8465262.522,453366.4505,2
-8465082.06,454308.8606,1
-8463899.035,454589.5785,3
-8486697.338,453366.4505,2
-8471418.264,453506.8094,3
-8487780.108,453587.0145,2
-8480922.57,453667.2197,3
-8467488.214,453707.3222,1
-8484291.185,453446.6556,3
-8489785.235,453466.7069,3
-8486897.851,453326.3479,2
-8480381.186,453366.4505,2
-8475789.443,453326.3479,3
-8473283.033,453226.0915,2
-8467969.444,453486.7582,3
-8466926.778,453386.5018,3
-8490787.799,453206.0403,3
-8486015.595,453526.8607,3
-8482787.339,453326.3479,3
-8491048.466,453346.3992,2
-8490386.774,453406.553,3
-8487379.082,453226.0915,3
-8469794.111,453647.1684,2
-8467829.085,454128.3991,2
-8492331.748,453326.3479,3
-8474847.033,453406.553,2
-8467047.085,453386.5018,2
-8465362.778,453566.9633,3
-8464119.599,453185.989,1
-8463477.958,453185.989,2
-8491289.081,453065.6813,3
-8484932.826,453085.7326,2
-8484150.826,453466.7069,2
-8484010.467,453185.989,3
-8475909.751,453206.0403,2
-8472440.879,453226.0915,3
-8471097.444,453105.7839,3
-8491068.517,453105.7839,3
-8469212.624,453346.3992,1
-8465202.368,453085.7326,2
-8464881.547,453105.7839,3
-8469092.316,453065.6813,2
-8463558.163,453366.4505,1
-8491429.44,453085.7326,2
-8487619.697,453005.5275,2
-8486978.056,453045.63,3
-8478897.391,453226.0915,2
-8489644.876,452985.4762,2
-8470215.187,453045.63,2
-8466325.239,453025.5787,3
-8463518.06,453025.5787,2
-8485273.698,453366.4505,3
-8489003.236,452985.4762,2
-8482065.493,453266.1941,2
-8466224.983,453025.5788,1
-8463818.83,453446.6556,2
-8473884.571,453005.5275,1
-8481423.852,452985.4762,3
-8470836.777,453045.63,2
-8479258.314,452965.4249,2
-8469152.47,452905.2711,3
-8487298.877,452985.4762,2
-8476751.904,452845.1172,1
-8468992.06,452885.2198,1
-8468731.393,453125.8351,3
-8467728.829,453306.2966,2
-8488682.415,452885.2198,3
-8487579.595,452885.2198,3
-8485193.493,453065.6813,2
-8472300.52,452845.1172,2
-8466666.111,452845.1172,3
-8463638.368,452905.2711,3
-8488842.825,452865.1685,2
-8481123.083,452845.1172,2
-8470495.905,453125.8351,2
-8466044.522,452865.1685,3
-8463959.189,452905.2711,2
-8463758.676,452825.066,1
-8482867.544,453005.5275,1
-8472240.367,454088.2965,2
-8479037.75,452684.707,2
-8477754.468,452825.066,2
-8473603.854,452704.7583,1
-8492552.312,452784.9634,3
-8484170.877,452865.1685,2
-8481223.339,452764.9121,3
-8487719.954,452684.707,2
-8483609.442,452805.0147,1
-8476972.468,452865.1685,1
-8474606.418,452704.7583,2
-8470977.136,452805.0147,1
-8471157.598,452845.1172,2
-8479599.186,452564.3993,2
-8466445.547,452885.2198,2
-8469252.726,454188.5529,3
-8485253.646,452624.5532,3
-8468550.931,452805.0147,2
-8465402.881,452784.9634,2
-8482787.339,452624.5532,3
-8477092.776,452544.3481,1
-8472641.392,452604.5019,1
-8490406.825,452805.0147,2
-8488441.8,452644.6045,3
-8486256.21,452584.4506,3
-8465823.957,452544.3481,2
-8483469.083,452865.1685,3
-8469453.239,452744.8609,2
-8467327.803,452564.3993,1
-8463718.573,452604.5019,2
-8490727.645,452624.5532,3
-8489484.466,452524.2968,2
-8482566.775,452744.8608,2
-8472300.52,452484.1942,2
-8465242.47,452524.2968,2
-8491589.85,452504.2455,3
-8474085.084,452444.0917,2
-8468109.803,452965.4249,1
-8466966.88,452564.3993,2
-8491148.722,452403.9891,3
-8489143.594,452464.143,3
-8488241.287,452383.9378,3
-8483088.108,452524.2968,3
-8476390.981,452504.2455,2
-8466626.009,452343.8353,3
-8485454.159,452444.0917,2
-8463678.471,452363.8866,3
-8470195.136,452644.6045,1
-8492211.44,452644.6045,2
-8470355.546,452323.784,2
-8479037.75,452343.8353,2
-8469974.572,452383.9378,2
-8468450.675,452323.784,2
-8465583.342,453025.5787,1
-8492532.261,452263.6302,3
-8469633.7,452223.5276,3
-8469172.521,452363.8866,3
-8467508.265,452805.0147,3
