X,Y,RockTypes,id
-76.23677582,3.87290269,Mafic,2
-76.24850504,3.885578155,Mafic,2
-76.23189906,3.885178931,Mafic,2
-76.22169539,3.874000573,Mafic,2
-76.20769035,3.858031234,Mafic,2
-76.19608617,3.857631996,Mafic,2
-76.20568963,3.87120596,Mafic,2
-76.21289222,3.88138629,Mafic,2
-76.24910526,3.901147756,Mafic,2
-76.23490014,3.904141877,Mafic,2
-76.21769395,3.905738738,Mafic,2
-76.20889078,3.894560652,Mafic,2
-76.19248488,3.890768054,Mafic,2
-76.18968387,3.874799032,Mafic,2
-76.18008041,3.897954015,Mafic,2
-76.1958861,3.903742662,Mafic,2
-76.18468207,3.91252536,Mafic,2
-76.23490014,3.916517465,Mafic,2
-76.21789402,3.919311927,Mafic,2
-76.20328877,3.913523388,Mafic,2
-76.19348524,3.922106379,Mafic,2
-76.2058897,3.92909247,Mafic,2
-76.21849424,3.931088486,Mafic,2
-76.20508941,3.942864878,Mafic,2
-76.18988394,3.94106849,Mafic,2
-76.19493576,3.689337003,Mafic,2
-76.19908725,3.697123607,Mafic,2
-76.17507861,3.94670714,Mafic,2
-76.17547876,3.961277632,Mafic,2
-76.19428553,3.95389262,Mafic,2
-76.24370331,3.800189781,Mafic,2
-76.19813691,3.707805119,Mafic,2
-76.24245286,3.822598193,Mafic,2
-76.24485373,3.910828709,Mafic,2
-76.2075403,3.748733079,Mafic,2
-76.21454282,3.866714599,Mafic,2
-76.17772957,3.720882308,Felsic,3
-76.17432834,3.7322623,Felsic,3
-76.17172741,3.744041434,Felsic,3
-76.16692568,3.756419336,Felsic,3
-76.17052697,3.769994899,Felsic,3
-76.16512503,3.779178247,Felsic,3
-76.17772957,3.782172796,Felsic,3
-76.18473209,3.786964053,Felsic,3
-76.17052697,3.785766241,Felsic,3
-76.16112359,3.790757113,Felsic,3
-76.1689264,3.794150889,Felsic,3
-76.17852986,3.794150889,Felsic,3
-76.15812251,3.801537297,Felsic,3
-76.16612539,3.803733244,Felsic,3
-76.17292784,3.80772586,Felsic,3
-76.17852986,3.81770732,Felsic,3
-76.1639246,3.811918087,Felsic,3
-76.15412107,3.812117717,Felsic,3
-76.15472129,3.819304343,Felsic,3
-76.14691848,3.824694273,Felsic,3
-76.17692928,3.827688664,Felsic,3
-76.14151653,3.838668008,Felsic,3
-76.1703269,3.839067254,Felsic,3
-76.18213115,3.840264992,Felsic,3
-76.18673281,3.847850624,Felsic,3
-76.1753287,3.847451381,Felsic,3
-76.15372093,3.842261217,Felsic,3
-76.1367148,3.853839233,Felsic,3
-76.14971949,3.856833521,Felsic,3
-76.17913007,3.857232759,Felsic,3
-76.16952661,3.860227036,Felsic,3
-76.18633266,3.862422832,Felsic,3
-76.18693288,3.871405576,Felsic,3
-76.17893,3.869609034,Felsic,3
-76.16912647,3.868012106,Felsic,3
-76.15992316,3.863820154,Felsic,3
-76.1339138,3.863221302,Felsic,3
-76.14131646,3.861823979,Felsic,3
-76.13991596,3.869609034,Felsic,3
-76.14871913,3.864618623,Felsic,3
-76.14571805,3.874200188,Felsic,3
-76.15292064,3.871405576,Felsic,3
-76.15572165,3.87799286,Felsic,3
-76.16272417,3.872603268,Felsic,3
-76.17292784,3.874799032,Felsic,3
-76.17973029,3.879190543,Felsic,3
-76.1653251,3.87958977,Felsic,3
-76.15712215,3.885378543,Felsic,3
-76.15172021,3.888572331,Felsic,3
-76.17252769,3.882783581,Felsic,3
-76.1753287,3.88996961,Felsic,3
-76.16552517,3.888971554,Felsic,3
-76.15832258,3.893562602,Felsic,3
-76.16912647,3.895558702,Felsic,3
-76.17432834,3.903543054,Felsic,3
-76.16692568,3.905738738,Felsic,3
-76.15812251,3.904940308,Felsic,3
-76.17092712,3.911128118,Felsic,3
-76.16552517,3.91591865,Felsic,3
-76.13051257,3.888971554,Felsic,3
-76.1353143,3.891366887,Felsic,3
-76.13611459,3.897754406,Felsic,3
-76.12951221,3.89675636,Felsic,3
-76.1267112,3.903543054,Felsic,3
-76.13271336,3.903742662,Felsic,3
-76.12451041,3.909132056,Felsic,3
-76.13991596,3.923902808,Felsic,3
-76.13351365,3.931288087,Felsic,3
